              x              y            psi
         0.7125         0.0375    -0.00025083
          0.725         0.0375    -0.00022674
         0.7375         0.0375    -0.00020277
           0.75         0.0375    -0.00017915
         0.7625         0.0375     -0.0001561
          0.775         0.0375    -0.00013385
         0.7875         0.0375    -0.00011262
            0.8         0.0375    -9.2607e-05
         0.8125         0.0375    -7.4004e-05
          0.825         0.0375    -5.6985e-05
         0.8375         0.0375    -4.1703e-05
           0.85         0.0375    -2.8285e-05
         0.8625         0.0375     -1.683e-05
          0.875         0.0375    -7.4041e-06
         0.8875         0.0375    -3.5911e-08
            0.9         0.0375     5.2902e-06
         0.9125         0.0375     8.6421e-06
          0.925         0.0375      1.015e-05
         0.9375         0.0375     1.0022e-05
           0.95         0.0375     8.5598e-06
         0.9625         0.0375     6.1844e-06
          0.975         0.0375     3.4587e-06
         0.9875         0.0375     1.1059e-06
              1         0.0375              0

              0           0.05              0
         0.0125           0.05     1.0238e-06
          0.025           0.05     1.8764e-06
         0.0375           0.05      1.094e-06
           0.05           0.05      -2.24e-06
         0.0625           0.05    -8.6448e-06
          0.075           0.05    -1.8357e-05
         0.0875           0.05    -3.1416e-05
            0.1           0.05    -4.7727e-05
         0.1125           0.05    -6.7107e-05
          0.125           0.05    -8.9319e-05
         0.1375           0.05    -0.00011409
           0.15           0.05    -0.00014115
         0.1625           0.05    -0.00017019
          0.175           0.05    -0.00020094
         0.1875           0.05    -0.00023311
            0.2           0.05    -0.00026645
         0.2125           0.05     -0.0003007
          0.225           0.05    -0.00033562
         0.2375           0.05    -0.00037097
           0.25           0.05    -0.00040656
         0.2625           0.05    -0.00044215
          0.275           0.05    -0.00047755
         0.2875           0.05    -0.00051257
            0.3           0.05    -0.00054702
         0.3125           0.05     -0.0005807
          0.325           0.05    -0.00061343
         0.3375           0.05    -0.00064503
           0.35           0.05    -0.00067531
         0.3625           0.05     -0.0007041
          0.375           0.05     -0.0007312
         0.3875           0.05    -0.00075645
            0.4           0.05    -0.00077966
         0.4125           0.05    -0.00080066
          0.425           0.05    -0.00081928
         0.4375           0.05    -0.00083536
           0.45           0.05    -0.00084874
         0.4625           0.05    -0.00085929
          0.475           0.05    -0.00086688
         0.4875           0.05    -0.00087138
            0.5           0.05    -0.00087272
         0.5125           0.05    -0.00087081
          0.525           0.05    -0.00086559
         0.5375           0.05    -0.00085706
           0.55           0.05     -0.0008452
         0.5625           0.05    -0.00083004
          0.575           0.05    -0.00081164
         0.5875           0.05     -0.0007901
            0.6           0.05    -0.00076554
         0.6125           0.05     -0.0007381
          0.625           0.05    -0.00070799
         0.6375           0.05    -0.00067542
           0.65           0.05    -0.00064064
         0.6625           0.05    -0.00060393
          0.675           0.05    -0.00056559
         0.6875           0.05    -0.00052595
            0.7           0.05    -0.00048536
         0.7125           0.05    -0.00044419
          0.725           0.05    -0.00040281
