              x              y              w
            0.1        0.01875       0.047457
        0.10625        0.01875       0.054766
         0.1125        0.01875       0.062625
        0.11875        0.01875       0.071019
          0.125        0.01875       0.079926
        0.13125        0.01875       0.089325
         0.1375        0.01875        0.09919
        0.14375        0.01875         0.1095
           0.15        0.01875        0.12022
        0.15625        0.01875        0.13133
         0.1625        0.01875        0.14281
        0.16875        0.01875        0.15463
          0.175        0.01875        0.16675
        0.18125        0.01875        0.17916
         0.1875        0.01875        0.19183
        0.19375        0.01875        0.20474
            0.2        0.01875        0.21785
        0.20625        0.01875        0.23114
         0.2125        0.01875         0.2446
        0.21875        0.01875        0.25819
          0.225        0.01875        0.27189
        0.23125        0.01875        0.28569
         0.2375        0.01875        0.29955
        0.24375        0.01875        0.31346
           0.25        0.01875        0.32739
        0.25625        0.01875        0.34133
         0.2625        0.01875        0.35525
        0.26875        0.01875        0.36914
          0.275        0.01875        0.38297
        0.28125        0.01875        0.39672
         0.2875        0.01875        0.41038
        0.29375        0.01875        0.42392
            0.3        0.01875        0.43733
        0.30625        0.01875        0.45059
         0.3125        0.01875        0.46367
        0.31875        0.01875        0.47656
          0.325        0.01875        0.48925
        0.33125        0.01875        0.50171
         0.3375        0.01875        0.51392
        0.34375        0.01875        0.52587
           0.35        0.01875        0.53754
        0.35625        0.01875        0.54891
         0.3625        0.01875        0.55996
        0.36875        0.01875        0.57067
          0.375        0.01875        0.58104
        0.38125        0.01875        0.59103
         0.3875        0.01875        0.60063
        0.39375        0.01875        0.60983
            0.4        0.01875        0.61861
        0.40625        0.01875        0.62695
         0.4125        0.01875        0.63484
        0.41875        0.01875        0.64226
          0.425        0.01875        0.64919
        0.43125        0.01875        0.65561
         0.4375        0.01875        0.66153
        0.44375        0.01875        0.66691
           0.45        0.01875        0.67175
        0.45625        0.01875        0.67603
         0.4625        0.01875        0.67975
        0.46875        0.01875        0.68288
          0.475        0.01875        0.68542
        0.48125        0.01875        0.68737
         0.4875        0.01875         0.6887
        0.49375        0.01875        0.68941
            0.5        0.01875         0.6895
        0.50625        0.01875        0.68896
         0.5125        0.01875        0.68779
        0.51875        0.01875        0.68597
          0.525        0.01875        0.68351
        0.53125        0.01875        0.68041
         0.5375        0.01875        0.67667
        0.54375        0.01875        0.67228
           0.55        0.01875        0.66726
        0.55625        0.01875         0.6616
         0.5625        0.01875        0.65532
        0.56875        0.01875        0.64841
          0.575        0.01875        0.64089
        0.58125        0.01875        0.63276
         0.5875        0.01875        0.62404
        0.59375        0.01875        0.61475
            0.6        0.01875        0.60489
        0.60625        0.01875        0.59449
         0.6125        0.01875        0.58355
        0.61875        0.01875        0.57211
          0.625        0.01875        0.56017
        0.63125        0.01875        0.54777
         0.6375        0.01875        0.53493
        0.64375        0.01875        0.52166
           0.65        0.01875          0.508
        0.65625        0.01875        0.49398
         0.6625        0.01875        0.47961
        0.66875        0.01875        0.46494
          0.675        0.01875           0.45
        0.68125        0.01875        0.43481
         0.6875        0.01875         0.4194
        0.69375        0.01875        0.40382
            0.7        0.01875        0.38809
        0.70625        0.01875        0.37226
         0.7125        0.01875        0.35635
        0.71875        0.01875         0.3404
          0.725        0.01875        0.32445
