              x              y              w
        0.80625        0.01875        0.13366
         0.8125        0.01875         0.1213
        0.81875        0.01875        0.10944
          0.825        0.01875       0.098108
        0.83125        0.01875       0.087326
         0.8375        0.01875       0.077114
        0.84375        0.01875       0.067488
           0.85        0.01875       0.058466
        0.85625        0.01875       0.050059
         0.8625        0.01875       0.042278
        0.86875        0.01875       0.035129
          0.875        0.01875       0.028616
        0.88125        0.01875       0.022739
         0.8875        0.01875       0.017493
        0.89375        0.01875        0.01287
            0.9        0.01875       0.008857
        0.90625        0.01875      0.0054361
         0.9125        0.01875      0.0025834
        0.91875        0.01875     0.00026955
          0.925        0.01875     -0.0015417
        0.93125        0.01875     -0.0028933
         0.9375        0.01875     -0.0038358
        0.94375        0.01875     -0.0044274
           0.95        0.01875     -0.0047333
        0.95625        0.01875     -0.0048251
         0.9625        0.01875     -0.0047779
        0.96875        0.01875     -0.0046644
          0.975        0.01875     -0.0045446
        0.98125        0.01875     -0.0044476
         0.9875        0.01875     -0.0043424
        0.99375        0.01875     -0.0040977
              1        0.01875      -0.003442

              0          0.025     -0.0075234
        0.00625          0.025     -0.0043517
         0.0125          0.025     -0.0013519
        0.01875          0.025      0.0015078
          0.025          0.025      0.0042809
        0.03125          0.025      0.0070436
         0.0375          0.025      0.0098836
        0.04375          0.025       0.012889
           0.05          0.025       0.016142
        0.05625          0.025       0.019712
         0.0625          0.025       0.023658
        0.06875          0.025       0.028025
          0.075          0.025       0.032848
        0.08125          0.025       0.038152
         0.0875          0.025       0.043951
        0.09375          0.025       0.050254
            0.1          0.025       0.057063
        0.10625          0.025       0.064373
         0.1125          0.025       0.072176
        0.11875          0.025       0.080461
          0.125          0.025       0.089213
        0.13125          0.025       0.098414
         0.1375          0.025        0.10805
        0.14375          0.025        0.11809
           0.15          0.025        0.12852
        0.15625          0.025        0.13931
         0.1625          0.025        0.15045
        0.16875          0.025         0.1619
          0.175          0.025        0.17365
        0.18125          0.025        0.18567
         0.1875          0.025        0.19793
        0.19375          0.025        0.21042
            0.2          0.025        0.22311
        0.20625          0.025        0.23598
         0.2125          0.025          0.249
        0.21875          0.025        0.26214
          0.225          0.025         0.2754
        0.23125          0.025        0.28875
         0.2375          0.025        0.30215
        0.24375          0.025        0.31561
           0.25          0.025        0.32908
        0.25625          0.025        0.34256
         0.2625          0.025        0.35602
        0.26875          0.025        0.36944
          0.275          0.025         0.3828
        0.28125          0.025        0.39608
         0.2875          0.025        0.40927
        0.29375          0.025        0.42234
            0.3          0.025        0.43528
        0.30625          0.025        0.44806
         0.3125          0.025        0.46067
        0.31875          0.025         0.4731
          0.325          0.025        0.48531
        0.33125          0.025         0.4973
         0.3375          0.025        0.50904
        0.34375          0.025        0.52053
           0.35          0.025        0.53173
        0.35625          0.025        0.54264
         0.3625          0.025        0.55323
        0.36875          0.025        0.56349
          0.375          0.025         0.5734
        0.38125          0.025        0.58295
         0.3875          0.025        0.59212
        0.39375          0.025        0.60089
            0.4          0.025        0.60925
        0.40625          0.025        0.61718
         0.4125          0.025        0.62466
        0.41875          0.025        0.63169
          0.425          0.025        0.63824
        0.43125          0.025         0.6443
         0.4375          0.025        0.64987
        0.44375          0.025        0.65492
           0.45          0.025        0.65944
        0.45625          0.025        0.66343
         0.4625          0.025        0.66687
        0.46875          0.025        0.66975
          0.475          0.025        0.67206
        0.48125          0.025        0.67379
         0.4875          0.025        0.67494
        0.49375          0.025         0.6755
            0.5          0.025        0.67546
        0.50625          0.025        0.67482
         0.5125          0.025        0.67357
        0.51875          0.025        0.67171
          0.525          0.025        0.66925
        0.53125          0.025        0.66617
         0.5375          0.025        0.66248
        0.54375          0.025        0.65819
           0.55          0.025        0.65329
        0.55625          0.025        0.64779
         0.5625          0.025         0.6417
        0.56875          0.025        0.63502
          0.575          0.025        0.62777
        0.58125          0.025        0.61994
         0.5875          0.025        0.61156
        0.59375          0.025        0.60264
            0.6          0.025        0.59319
        0.60625          0.025        0.58323
         0.6125          0.025        0.57277
        0.61875          0.025        0.56183
          0.625          0.025        0.55044
        0.63125          0.025        0.53861
         0.6375          0.025        0.52636
        0.64375          0.025        0.51372
           0.65          0.025        0.50071
        0.65625          0.025        0.48736
         0.6625          0.025         0.4737
        0.66875          0.025        0.45975
          0.675          0.025        0.44554
        0.68125          0.025         0.4311
         0.6875          0.025        0.41647
        0.69375          0.025        0.40166
            0.7          0.025        0.38672
        0.70625          0.025        0.37168
         0.7125          0.025        0.35656
        0.71875          0.025        0.34141
          0.725          0.025        0.32625
        0.73125          0.025        0.31112
         0.7375          0.025        0.29605
        0.74375          0.025        0.28108
           0.75          0.025        0.26624
        0.75625          0.025        0.25155
         0.7625          0.025        0.23707
        0.76875          0.025        0.22281
          0.775          0.025         0.2088
        0.78125          0.025        0.19509
         0.7875          0.025        0.18169
        0.79375          0.025        0.16865
            0.8          0.025        0.15597
        0.80625          0.025         0.1437
         0.8125          0.025        0.13185
        0.81875          0.025        0.12046
          0.825          0.025        0.10953
        0.83125          0.025       0.099097
         0.8375          0.025       0.089171
        0.84375          0.025        0.07977
           0.85          0.025       0.070906
        0.85625          0.025        0.06259
         0.8625          0.025        0.05483
        0.86875          0.025       0.047631
          0.875          0.025       0.040995
        0.88125          0.025        0.03492
         0.8875          0.025       0.029401
        0.89375          0.025       0.024428
            0.9          0.025       0.019988
        0.90625          0.025       0.016062
         0.9125          0.025       0.012626
        0.91875          0.025      0.0096524
          0.925          0.025      0.0071066
        0.93125          0.025      0.0049483
         0.9375          0.025      0.0031316
        0.94375          0.025      0.0016049
           0.95          0.025     0.00031196
        0.95625          0.025    -0.00080629
         0.9625          0.025     -0.0018088
        0.96875          0.025     -0.0027485
          0.975          0.025     -0.0036643
